"","true_like","ml_like","ml_X1","ml_X2","ml_X3","ml_X4","true_X1","true_X2","true_X3","true_X4","M","N","z","run","seed","p","nbio","nevents"
"sub.6107",-525.038056186281,-525.038056186281,2,3,1,4,2,3,1,4,250,4,7,11,112509547,0.95,4,1
"sub.7107",-420.145349651494,-420.145349651494,1,1,1,2,1,1,1,2,250,4,8,11,112509548,0.95,4,1
"sub.8107",-442.023932300213,-442.023932300213,2,2,2,1,2,2,2,1,250,4,9,11,112509549,0.95,4,1
"sub.9107",-518.88926547866,-518.88926547866,1,4,2,3,1,4,2,3,250,4,10,11,1125095410,0.95,4,1
"sub.10107",-417.9684950523,-417.9684950523,1,2,2,2,1,2,2,2,250,4,11,11,1125095411,0.95,4,1
"sub.11146",-462.695218640218,-462.695218640218,2,2,2,1,2,2,2,1,250,4,12,11,1125095412,0.95,4,1
"sub.12123",-440.216038541702,-440.216038541702,1,2,1,1,1,2,1,1,250,4,13,11,1125095413,0.95,4,1
"sub.13110",-363.028340959394,-363.028340959394,1,1,1,1,1,1,1,1,250,4,14,11,1125095414,0.95,4,1
"sub.14107",-430.358828907806,-430.358828907806,1,1,1,2,1,1,1,2,250,4,15,11,1125095415,0.95,4,1
"sub.15107",-355.578544456191,-355.578544456191,1,1,1,1,1,1,1,1,250,4,16,11,1125095416,0.95,4,1
"sub.16107",-490.831910197824,-490.831910197824,1,3,3,2,1,3,3,2,250,4,17,11,1125095417,0.95,4,1
"sub.17107",-483.885982000495,-483.885982000495,3,1,1,2,3,1,1,2,250,4,18,11,1125095418,0.95,4,1
"sub.18107",-437.972935200036,-437.972935200036,1,2,2,1,1,2,2,1,250,4,19,11,1125095419,0.95,4,1
"sub.19107",-462.61290110469,-462.61290110469,1,2,2,1,1,2,2,1,250,4,20,11,1125095420,0.95,4,1
"sub108",-449.667934032766,-449.667934032766,1,2,1,2,1,2,1,2,250,4,1,12,122509541,0.95,4,1
"sub.1500",-451.414504188341,-451.414504188341,1,2,2,2,1,2,2,2,250,4,2,12,122509542,0.95,4,1
"sub.2108",-466.848992591587,-466.848992591587,2,3,1,2,2,3,1,2,250,4,3,12,122509543,0.95,4,1
"sub.3108",-493.014495058367,-493.014495058367,1,2,2,3,1,2,2,3,250,4,4,12,122509544,0.95,4,1
"sub.4108",-376.361498260606,-376.361498260606,1,1,1,1,1,1,1,1,250,4,5,12,122509545,0.95,4,1
"sub.5108",-433.677737614742,-433.677737614742,1,2,1,2,1,2,1,2,250,4,6,12,122509546,0.95,4,1
"sub.6108",-479.755158303263,-479.755158303263,3,2,1,3,3,2,1,3,250,4,7,12,122509547,0.95,4,1
"sub.7108",-458.413456619422,-458.413456619422,2,1,1,1,2,1,1,1,250,4,8,12,122509548,0.95,4,1
"sub.8108",-492.180730747118,-492.180730747118,2,1,1,3,2,1,1,3,250,4,9,12,122509549,0.95,4,1
"sub.9108",-473.308137376582,-473.308137376582,3,3,2,1,3,3,2,1,250,4,10,12,1225095410,0.95,4,1
"sub.10108",-467.333551988943,-467.333551988943,1,2,2,3,1,2,2,3,250,4,11,12,1225095411,0.95,4,1
"sub.11147",-481.429782052929,-481.429782052929,2,3,3,1,2,3,3,1,250,4,12,12,1225095412,0.95,4,1
"sub.12124",-447.056570641019,-447.056570641019,2,2,2,1,2,2,2,1,250,4,13,12,1225095413,0.95,4,1
"sub.13111",-402.836621851647,-402.836621851647,1,1,1,1,1,1,1,1,250,4,14,12,1225095414,0.95,4,1
"sub.14108",-442.492294132525,-442.492294132525,1,2,1,1,1,2,1,1,250,4,15,12,1225095415,0.95,4,1
"sub.15108",-425.588092141046,-425.588092141046,1,1,1,2,1,1,1,2,250,4,16,12,1225095416,0.95,4,1
"sub.16108",-429.404547791889,-429.404547791889,2,2,1,1,2,2,1,1,250,4,17,12,1225095417,0.95,4,1
"sub.17108",-447.323350919669,-447.323350919669,1,2,2,1,1,2,2,1,250,4,18,12,1225095418,0.95,4,1
"sub.18108",-478.224782265332,-478.224782265332,3,1,2,2,3,1,2,2,250,4,19,12,1225095419,0.95,4,1
"sub.19108",-374.107440208507,-374.107440208507,1,1,1,1,1,1,1,1,250,4,20,12,1225095420,0.95,4,1
"sub109",-354.890922109286,-354.890922109286,1,1,1,1,1,1,1,1,250,4,1,13,132509541,0.95,4,1
"sub.1501",-463.722874769755,-463.722874769755,1,1,2,2,1,1,2,2,250,4,2,13,132509542,0.95,4,1
"sub.2109",-514.216747647526,-514.216747647526,1,2,3,4,1,2,3,4,250,4,3,13,132509543,0.95,4,1
"sub.3109",-510.600315017324,-510.600315017324,1,2,3,4,1,2,3,4,250,4,4,13,132509544,0.95,4,1
"sub.4109",-474.076251502356,-474.076251502356,3,1,2,1,3,1,2,1,250,4,5,13,132509545,0.95,4,1
"sub.5109",-460.571021104252,-460.571021104252,2,1,2,1,2,1,2,1,250,4,6,13,132509546,0.95,4,1
"sub.6109",-463.939330737552,-463.939330737552,2,2,3,1,2,2,3,1,250,4,7,13,132509547,0.95,4,1
"sub.7109",-489.605523209877,-489.605523209877,1,3,1,2,1,3,1,2,250,4,8,13,132509548,0.95,4,1
"sub.8109",-480.861104692453,-480.861104692453,1,2,3,2,1,2,3,2,250,4,9,13,132509549,0.95,4,1
"sub.9109",-392.445144949439,-392.445144949439,1,1,1,1,1,1,1,1,250,4,10,13,1325095410,0.95,4,1
"sub.10109",-445.27447008694,-445.27447008694,1,1,1,2,1,1,1,2,250,4,11,13,1325095411,0.95,4,1
"sub.11148",-443.961138887673,-443.961138887673,1,2,2,2,1,2,2,2,250,4,12,13,1325095412,0.95,4,1
"sub.12125",-484.733966427018,-484.733966427018,1,3,2,2,1,3,2,2,250,4,13,13,1325095413,0.95,4,1
"sub.13112",-439.638458725352,-439.638458725352,1,2,2,2,1,2,2,2,250,4,14,13,1325095414,0.95,4,1
"sub.14109",-405.887851215823,-405.887851215823,1,2,1,1,1,2,1,1,250,4,15,13,1325095415,0.95,4,1
"sub.15109",-514.795554503748,-514.795554503748,2,4,1,3,2,4,1,3,250,4,16,13,1325095416,0.95,4,1
"sub.16109",-491.496174731561,-491.496174731561,1,3,2,1,1,3,2,1,250,4,17,13,1325095417,0.95,4,1
